acctno,mail_1,mail_2,mail_3,mail_4,mail_5,mail_6,mail_7,mail_8,mail_9,mail_10,mail_11,mail_12,mail_13,mail_14,mail_15,mail_16
SSPYQPA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSGDHDQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SSGDDSW,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1
SSHWWGY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SSHLLDD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SSDPYAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SPQPSGL,1,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0
SPSHSDD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SPHASQL,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
SLAPLWD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SLAHQSS,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0
SLSGQWY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SLSGAWG,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
SLSGGGW,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1
SLPWQLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLPWPDH,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLPSSAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLPPSPS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLPGQSS,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SLPGWAP,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
SLPGSDH,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
SLPGDSP,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
SLPHPQS,1,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0
SLPHHWY,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0
SLLWAQH,0,0,0,0,0,0,1,1,1,1,0,1,0,1,1,1
SLLWHAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLLSGAL,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SLLSYDY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLLPSHL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLLGQPQ,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
SLLGLHY,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
SLLHSQS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLLHLGY,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1
SLLYQPG,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
SLLYQDL,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
SLLYHYQ,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
SLGWSDG,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0
SLGSDSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLGPSDQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLGPSDQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLGLQPW,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1
SLGGWSQ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
SLGYLLH,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
SLGYYDG,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
SLGDSHS,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,1
SLHWAQL,1,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1
SLHALGH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SLHSQWW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLHSGHA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SLHPSQY,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
SLYQLGQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLYQYSP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SLYSYGW,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SLYSYHD,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
SLYSDWW,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1
SLYPQSP,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
SLYPPSQ,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0
