acctno,mail_1,mail_2,mail_3,mail_4,mail_5,mail_6,mail_7,mail_8,mail_9,mail_10,mail_11,mail_12,mail_13,mail_14,mail_15,mail_16
YDAADGAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YDASQWLL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YDADYLHP,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
YDSWLWWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
YDPALDWA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YDPPGAHA,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
YDPPYHYW,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1
YDPDPQLY,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
YDPDDGPP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YDLSAYHS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDGQAYHP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDGAQWGL,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
YDGLPGYL,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
YDGDSDPD,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1
YDHGQPLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YDHHPQGW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YDHDDASS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YDYSQAPP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YDYLLPYQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDYHSPQQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDDWWDSH,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
YDDSAYWY,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
YDDSADWH,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
YDDGSPSS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
YDDGHSGY,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1
DQQQAGAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQQHPHWH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQQYWPGP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQWAPQYA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DQWPLSPS,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DQWHQAGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQWHWDGY,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1
DQAQAYAW,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1
DQAWYYLQ,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
DQASWDYG,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
DQAHHLGH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DQSSHAGA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DQPWPQLS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DQPPGQLL,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1
DQPGGWSH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQPHHGWS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DQLQGPWW,1,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0
DQLSSGDG,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1
DQLSPLDL,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1
DQLGPPLW,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
DQLHAAAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DQGQHYWS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DQGAYHDS,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1
DQGGDDLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DQGDLLDP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
DQHQHDAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DQHSQSAG,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
DQHHDSDY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQHYQYDW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DQHYGQWS,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1
DQYWADDW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQYASLSL,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
DQYAGQSS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DQYLSPHP,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
DQYGGWQP,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1
DQYHPDWY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DQYYWYWP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQDYWAQQ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DQDYPSDP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DQDYHDPA,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0
DQDDHAPY,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DQDDHALL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWQWAWWA,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
DWQWGSAD,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1
DWQWGHQD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWQPHWLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWQLQWHD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DWQLGGAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWQYWLAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWQDLWGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWQDGYAG,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
DWWQDSGS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
DWWSQGWH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWWHWGQS,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DWWHDAGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWAWLWLA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DWAWDHAL,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
DWASQLAP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWASGWAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DWSSWYLQ,1,1,1,0,1,0,1,1,0,0,0,1,1,0,1,0
DWSGSAYS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DWSGGLSP,1,0,0,1,0,1,1,1,0,1,0,1,1,1,0,1
DWSDLYGS,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1
DWPAQLSD,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
DWPAAHPW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWPAGGSL,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
DWPHPAQL,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DWPHLWYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWPYQWAD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DWPYASHA,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0
DWLADWWL,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
DWLSAGGS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWLPWLLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWLPHQQQ,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,1
DWLYYGYW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DWLDAYHS,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
DWLDHQQL,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0
DWGWYWWG,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DWGAALGS,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1
DWGSWQAY,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
DWGPAYPS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWGGLWPW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWGGLLHQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWGDSGLL,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0
DWHWQGYW,1,0,0,0,1,0,1,0,1,1,0,1,1,1,0,1
DWHSHPQS,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1
DWHGWHDW,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0
DWHGDAWG,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWHHAYWP,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
DWHDHGSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWYWQGAA,0,0,0,1,1,0,0,0,1,1,0,1,0,1,0,1
DWYAPQPL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DWYAGPGW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWYSWYAG,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
DWYPWLWQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DWYGWGQD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DWYYAWGH,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DWDWLHSG,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1
DWDAQDHL,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0
DWDASWHH,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0
DWDHPHGG,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
DWDHYWQG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DWDYDGPQ,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
DAQWWGQQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DAQSPLGQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DAWWWHYQ,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,1
DAWWLQQL,1,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0
DAWWDAHQ,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0
DAWLSLHG,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1
DAWGSYGP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DAWHGGDA,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
DAAQAAYA,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1
DAAQPSHD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DAAAGSLG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAAAHPDL,1,0,1,1,1,1,1,0,1,1,0,1,1,0,0,1
DAAPYHLG,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DAALGQSW,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1
DAAGQDSP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DAAYWQYY,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
DAADWSDA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DAADWHHA,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
DAADPHDA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DAADLWSY,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
DASWYHDD,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1
DASADGWP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
DASLHGAS,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
DASLHGLG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DASYWPQD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DASYYSLP,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
DASDAPWP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DAPAGLPS,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
DAPAYAGH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DAPADWWH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAPPSLPY,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DAPLAAAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DAPGPPDP,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1
DAPYWAAL,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
DAPYDSAH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DALWWLSP,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
DALAWLGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DALSGPQY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DALPGGWS,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
DALPHQWH,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
DALPHWLH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
DALLSPPL,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1
DALHYGWG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DALYHAWW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAGADHDD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAGLYGWG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
DAGGLQWH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DAGYGWWA,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
DAGYDGSH,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DAGDHLYQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DAGDHGPY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DAHQHQQD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DAHSHSDP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DAHGAHPD,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
DAHYWDYY,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1
DAYQWHDP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DAYQLLWP,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
DAYWQDGD,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DAYYDAWW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DAYDPYQH,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DAYDHASQ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DADSPQSS,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
DADPQSSH,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0
DADPAQDS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DADLSDYS,1,1,0,1,1,0,1,0,1,1,0,1,1,1,0,1
DADLDSLA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DADLDYGL,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
DADHYGGH,1,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0
DADHDAHH,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DADDHHSS,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
DSQSDLWD,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0
DSQHYGQY,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
DSQDAWWA,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1
DSWQAPGL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
DSWQDPPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSWWGDLA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSWWDSAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSWSADPA,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
DSWSSGQW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSWLPDYH,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
DSWGYGDY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DSWHGPHH,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
DSWHGYPQ,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
DSWDLSGQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DSAALSQY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSASQYAD,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DSASGSWS,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
DSASDSYA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSAPAPAY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSAPAYDD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DSAHSSPQ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DSAYPGWQ,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1
DSSWPGWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSSSQPAW,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
DSSSQPAW,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1
DSSSWHLD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSSSDAHS,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
DSSSDGYH,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DSSPALSS,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
DSSPDADY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSSLWQGA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DSSLHYDL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DSSLDSPH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSSGAYWA,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0
DSPWGHAL,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DSPWHPYS,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1
DSPSGWDP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DSPPHQSL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
DSPPHAWH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSPPHAPW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSPPYWAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSPLHQWY,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1
DSPGQQYH,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DSPHPQGA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DSPHDHQH,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
DSPDYYGS,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
DSLWYPLP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DSLHWPLS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DSLDSDLA,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
DSGQSSGS,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
DSGWSYAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSGPWHSG,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
DSGPDPPQ,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0
DSGDPQAP,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
DSHAHSSH,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1
DSHGGWAD,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
DSHHWSQW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSHHHLHW,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0
DSYWHPQW,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0
DSYAQGAD,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1
DSYPGAGD,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
DSYGLWQS,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DSYGGSAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSYHLQWW,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1
DSDSGDAQ,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1
DSDPAYDP,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
DSDLSPGW,1,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0
DSDHWSLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DSDHASPH,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DSDHSWSD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPQSQYAA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
DPQSYDAP,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
DPQSDHGL,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DPQGSWQP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPQYQYDA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
DPWSYPGY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
DPWPDAYS,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
DPWHQDPW,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPWHALLY,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
DPWHHAGY,1,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0
DPAWPYLL,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0
DPAALYGD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPASQQHL,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
DPASDLQG,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
DPAPAGHP,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
DPAGWYGP,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0
DPAHHHYH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPAYQWAQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPAYLDLP,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPADQPWY,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
DPSAYADW,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
DPSSLDPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPSLQYLH,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
DPSHSSDG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPSHLSGH,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
DPSDQHWS,1,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0
DPPWLYDQ,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DPPSPGYL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPPSYQAL,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
DPPPGDYG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DPPGGALH,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
DPPHYHPQ,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1
DPLQYQDQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPLAALGA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
DPLYQYPA,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
DPLYDQLY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPLDGYSQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPGQSWYQ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPGWAYYP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPGWYWLP,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1
DPGASAGW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPGSDPPQ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPGPLPGA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPGPGGQW,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
DPGPHLYS,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1
DPGPYYSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPHQHGYP,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPHSQYGY,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,1
DPHSSSYS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPHLAHLL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPHLAHLL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPHLLWLP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPHGYLDL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPHHAPPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPHDQALQ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
DPHDDSAH,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0
DPYQYGHA,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
DPYADYGY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPYSHLDY,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
DPYYSYGL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPYDLQYS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPYDGLQS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DPYDHAQP,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DPDLASYD,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1
DPDLAGPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPDGSDWL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DPDYAWQL,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
DPDYAWWS,0,0,1,1,0,1,1,0,1,1,1,1,1,1,0,1
DPDDAADP,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DPDDDYQA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DLQWSHPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DLQPPSPS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
