Fill
340.1
339.9
340.2
340.2
340
340.1
340.9
340.1
340.3
340.5
339.7
340.4
340.3
339.8
339.3
340.1
339.4
339.6
339.2
340.2
340.4
339.8
339.9
340.2
339.6
339.6
340.4
340.4
340.6
340.6
340.1
340.8
339.9
340
339.9
340.3
340.5
339.9
341.1
339.7
340.2
340.5
340.2
339.7
340.9
340.2
339.5
340.6
340.3
339.6
