AIRPORT_ID	AIRPORT_NAME	AIRPORT_CITY	AIRPORT_STATE	AIRPORT_COUNTRY	ICAO	LCHG_DATE	RECORD_STATUS	Record_End
L85 	MACKEYS LAKES                                     	SOLDOTNA              	AK	  	 	06/02/1989	A	 
L86 	BEAR CREEK                                        	MURRIETA              	CA	  	 	10/05/2010	I	 
L87 	IDA'S                                             	IDA                   	LA	  	 	08/28/2009	A	 
L88 	NEW CUYAMA                                        	NEW CUYAMA            	CA	  	 	10/23/1991	A	 
L89 	KIBS AIR PARK                                     	BRISTOL               	LA	  	 	08/28/2009	A	 
L90 	OCOTILLO                                          	OCOTILLO WELLS        	CA	  	 	06/02/1989	A	 
L91 	RIO BRAVO                                         	BAKERSFIELD           	CA	  	 	11/24/2004	I	 
L92 	ALAMO LANDING FIELD                               	ALAMO                 	NV	  	 	06/02/1989	A	 
L93 	ROBE LAKE                                         	VALDEZ                	AK	  	 	06/08/2006	A	 
L94 	MOUNTAIN VALLEY                                   	TEHACHAPI             	CA	  	 	12/18/1991	A	 
L95 	JONES LANDING                                     	BIG LAKE              	AK	  	 	06/08/2006	A	 
L99 	VIDAL JUNCTION                                    	VIDAL JUNCTION        	CA	  	 	09/26/2002	I	 
L999	                                                  	                      	  	  	N	01/08/1993	I	 
LA00	BATON ROUGE GENERAL MEDICAL CENTER                	BATON ROUGE           	LA	  	 	08/28/2009	A	 
LA01	MILLERS FLYING SERVICE                            	BASILE                	LA	  	 	06/02/1989	A	 
LA02	HAMMOND DEVELOPMENTAL CENTER                      	HAMMOND               	LA	  	 	08/15/2011	I	 
LA03	LSU UNIVERSITY HOSPITAL                           	NEW ORLEANS           	LA	  	 	08/28/2009	A	 
LA04	CANE-AIR                                          	BELLE ROSE            	LA	  	 	06/02/1989	A	 
LA05	BATON ROUGE                                       	BATON ROUGE           	LA	  	 	06/27/2002	A	 
LA06	BEHAVIORAL HEALTH CENTER                          	ARNAUDVILLE           	LA	  	 	07/26/2010	A	 
LA07	PRICE                                             	ABITA SPRINGS         	LA	  	 	06/27/2002	A	 
LA08	JESUITS BEND                                      	BELLE CHASSE          	LA	  	 	06/27/2002	A	 
LA09	BRISTOW (INTRACOASTAL CITY)                       	INTRACOASTAL CITY     	LA	  	 	05/02/2013	A	 
LA10	METRO AMBULANCE SERVICE                           	MONROE                	LA	  	 	08/31/1993	A	 
LA11	THACKERS                                          	OIL CITY              	LA	  	 	11/19/2012	A	 
LA12	LA STATE POLICE TROOP B                           	KENNER                	LA	  	 	08/28/2009	A	 
LA13	SHAW CROP SERVICE                                 	HAMMOND               	LA	  	 	08/28/2009	A	 
LA14	COFFMAN                                           	WEST MONROE           	LA	  	 	08/28/2009	A	 
LA15	WILBERT                                           	PLAQUEMINE            	LA	  	 	04/15/1992	A	 
LA16	CASTILLE FIELD                                    	BREAUX BRIDGE         	LA	  	 	08/28/2009	A	 
LA17	PIONEER FIELD FLIGHT PARK                         	BOSSIER CITY          	LA	  	 	08/28/2009	A	 
LA18	BUNKIE GENERAL HOSPITAL                           	BUNKIE                	LA	  	 	08/28/2009	A	 
LA19	CCHCC                                             	COUSHATTA             	LA	  	 	08/28/2009	A	 
LA20	ST FRANCIS CABRINI HOSPITAL                       	ALEXANDRIA            	LA	  	 	08/28/2009	A	 
LA21	CHLOE                                             	LAKE CHARLES          	LA	  	 	08/28/2009	A	 
LA22	PG&E LIVERMORE TRAINING CENTER                    	LIVERMORE             	CA	  	 	05/26/2010	A	 
LA23	CITIZENS MEDICAL CENTER                           	COLUMBIA              	LA	  	 	08/28/2009	A	 
LA24	ST TAMMANY PARISH HOSPITAL                        	COVINGTON             	LA	  	 	08/28/2009	A	 
LA25	CENTRAL FARMERS COOP                              	MAMOU                 	LA	  	 	06/27/2002	A	 
LA26	UNICORN                                           	FOLSOM                	LA	  	 	08/28/2009	A	 
LA27	TEXAS EASTERN TRANSMISSION MAINTENANCE HQ         	LAKE CHARLES          	LA	  	 	08/28/2009	A	 
LA28	LOUISIANA STATE POLICE HEADQUARTERS               	BATON ROUGE           	LA	  	 	08/28/2009	A	 
LA29	BYRD MEMORIAL HOSPITAL                            	LEESVILLE             	LA	  	 	08/28/2009	A	 
LA30	PHOENIX                                           	RAYNE                 	LA	  	 	08/28/2009	A	 
LA31	GOTREAUX STRIP                                    	LACASSINE             	LA	  	 	08/28/2009	A	 
LA32	LAKE AIR SERVICE                                  	LAKE ARTHUR           	LA	  	 	06/05/2008	A	 
LA33	CUBA FARM                                         	MONROE                	LA	  	 	08/28/2009	A	 
LA34	RENO FLIGHT PARK                                  	MONROE                	LA	  	 	08/28/2009	A	 
LA35	SUMMERVILLE AIRSTRIP                              	LE COMPTE             	LA	  	 	05/02/2013	A	 
LA36	WHITEHALL                                         	CONVENT               	LA	  	 	08/28/2009	A	 
LA37	WEST FELICIANA PARISH HOSPITAL                    	ST FRANCISVILLE       	LA	  	 	08/28/2009	A	 
LA38	PELICAN                                           	SLIDELL               	LA	  	 	08/28/2009	A	 
LA39	CHALKLEY                                          	BELL CITY             	LA	  	 	10/03/1994	A	 
LA40	F L BRAUGHTON                                     	VIDALIA               	LA	  	 	08/28/2009	A	 
LA41	DUPUIS                                            	BREAUX BRIDGE         	LA	  	 	08/28/2009	A	 
LA42	OUR LADY OF THE LAKE                              	WALKER                	LA	  	 	07/28/2014	A	 
LA43	BRISTOW U.S. LLC 2                                	NEW IBERIA            	LA	  	 	11/19/2012	A	 
LA44	CALPINE                                           	ST GABRIEL            	LA	  	 	08/28/2009	A	 
LA45	RIVER WEST MEDICAL CENTER                         	PLAQUEMINE            	LA	  	 	08/28/2009	A	 
LA46	OMNI                                              	PORT ALLEN            	LA	  	 	06/02/1989	A	 
LA47	MARATHON VENICE                                   	VENICE                	LA	  	 	06/02/1989	A	 
LA48	MAX                                               	COTTONPORT            	LA	  	 	06/27/2002	A	 
LA49	FOURCHON BASE                                     	LEEVILLE              	LA	  	 	06/09/1992	A	 
LA50	DETEL                                             	HESSMER               	LA	  	 	07/28/2014	A	 
LA51	STUART AIRSTRIP                                   	COUSHATTA             	LA	  	 	08/28/2009	A	 
LA52	DI'S CAJUN RESTAURANT                             	IOTA                  	LA	  	 	07/28/2014	A	 
LA53	TENSAS FLYING SERVICE                             	ST. JOSEPH            	LA	  	 	05/26/2010	A	 
